bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS15022,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,5.3,6 ngày,Hủy niêm yết,100000,3.002739726,28,1,2015,28,1,2018
BVBS15023,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,5.2,6 ngày,Hủy niêm yết,100000,3.002739726,4,2,2015,4,2,2018
BVBS15024,VND,3 Năm,Ngân hàng Chính sách Xã hội,2500000,Định kỳ - Cuối kỳ,Standard Coupon,5.1,6 ngày,Hủy niêm yết,100000,3.002739726,11,2,2015,11,2,2018
BVBS15025,VND,3 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,5,6 ngày,Hủy niêm yết,100000,3.002739726,4,3,2015,4,3,2018
BVBS15026,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,5,6 ngày,Hủy niêm yết,100000,3.002739726,11,3,2015,11,3,2018
BVBS15027,VND,3 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,4.8,6 ngày,Hủy niêm yết,100000,3.002739726,18,3,2015,18,3,2018
BVBS15029,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,6,6 ngày,Hủy niêm yết,100000,3.002739726,27,5,2015,27,5,2018
BVBS15030,VND,3 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,6 ngày,Hủy niêm yết,100000,3.002739726,3,6,2015,3,6,2018
BVBS15031,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,6,6 ngày,Hủy niêm yết,100000,3.002739726,10,6,2015,10,6,2018
BVBS15035,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,6,6 ngày,Hủy niêm yết,100000,3.002739726,8,7,2015,8,7,2018
BVBS15036,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,6 ngày,Hủy niêm yết,100000,3.002739726,15,7,2015,15,7,2018
BVBS15037,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,6,6 ngày,Hủy niêm yết,100000,3.002739726,22,7,2015,22,7,2018
BVBS15039,VND,3 Năm,Ngân hàng Chính sách Xã hội,7000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,6 ngày,Hủy niêm yết,100000,3.002739726,5,8,2015,5,8,2018
