bond_code,currency_type,tenor,issuance_volume,outstanding_volume,interest_payment_method,issuance_date,maturity_date,interest_payment_type,coupon_rate,first_trading_date,remaining_tenor,status,face_value
BVBS14024,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,19/08/2014,19/08/2017,Standard Coupon,6,20/08/2014,5 ngày,Hủy niêm yết,100000
BVBS14028,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,24/12/2014,24/12/2017,Standard Coupon,"6,1",25/12/2014,6 ngày,Hủy niêm yết,100000
BVBS14036,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.018.250,Định kỳ - Cuối kỳ,22/01/2014,22/01/2019,Standard Coupon,"9,2",24/01/2014,7 ngày,Hủy niêm yết,100000
BVBS14037,VND,5 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,18/02/2014,18/02/2019,Standard Coupon,9,20/02/2014,7 ngày,Hủy niêm yết,100000
BVBS14041,VND,5 Năm,Ngân hàng Chính sách Xã hội,4.500.000,Định kỳ - Cuối kỳ,1/4/2014,1/4/2019,Standard Coupon,"7,8",3/4/2014,7 ngày,Hủy niêm yết,100000
BVBS14042,VND,5 Năm,Ngân hàng Chính sách Xã hội,500,Định kỳ - Cuối kỳ,8/4/2014,8/4/2019,Standard Coupon,"7,8",11/4/2014,7 ngày,Hủy niêm yết,100000
BVBS14043,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,16/04/2014,16/04/2019,Standard Coupon,"7,6",18/04/2014,8 ngày,Hủy niêm yết,100000
BVBS14046,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,14/05/2014,14/05/2019,Standard Coupon,"7,6",15/05/2014,7 ngày,Hủy niêm yết,100000
BVBS14050,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,4/9/2014,4/9/2019,Standard Coupon,"6,7",5/9/2014,8 ngày,Hủy niêm yết,100000
BVBS14052,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,11/11/2014,11/11/2019,Standard Coupon,"5,5",12/11/2014,7 ngày,Hủy niêm yết,100000
BVBS14199,VND,15 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,24/12/2014,24/12/2029,Standard Coupon,"8,1",25/12/2014,2488 ngày,Bình thường,100000
BVBS15021,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.900.000,Định kỳ - Cuối kỳ,19/01/2015,19/01/2018,Standard Coupon,"5,5",20/01/2015,7 ngày,Hủy niêm yết,100000
BVBS15022,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,28/01/2015,28/01/2018,Standard Coupon,"5,3",29/01/2015,6 ngày,Hủy niêm yết,100000
BVBS15023,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,4/2/2015,4/2/2018,Standard Coupon,"5,2",5/2/2015,6 ngày,Hủy niêm yết,100000
BVBS15024,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,11/2/2015,11/2/2018,Standard Coupon,"5,1",12/2/2015,6 ngày,Hủy niêm yết,100000
BVBS15025,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,4/3/2015,4/3/2018,Standard Coupon,5,5/3/2015,6 ngày,Hủy niêm yết,100000
BVBS15026,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,11/3/2015,11/3/2018,Standard Coupon,5,12/3/2015,6 ngày,Hủy niêm yết,100000
BVBS15027,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,18/03/2015,18/03/2018,Standard Coupon,"4,8",19/03/2015,6 ngày,Hủy niêm yết,100000
BVBS15029,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,27/05/2015,27/05/2018,Standard Coupon,6,28/05/2015,6 ngày,Hủy niêm yết,100000
BVBS15030,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,3/6/2015,3/6/2018,Standard Coupon,"5,9",4/6/2015,6 ngày,Hủy niêm yết,100000
BVBS15031,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,10/6/2015,10/6/2018,Standard Coupon,6,11/6/2015,6 ngày,Hủy niêm yết,100000
BVBS15035,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,8/7/2015,8/7/2018,Standard Coupon,6,9/7/2015,6 ngày,Hủy niêm yết,100000
BVBS15036,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,15/07/2015,15/07/2018,Standard Coupon,"5,9",16/07/2015,6 ngày,Hủy niêm yết,100000
BVBS15037,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,22/07/2015,22/07/2018,Standard Coupon,6,23/07/2015,6 ngày,Hủy niêm yết,100000
BVBS15039,VND,3 Năm,Ngân hàng Chính sách Xã hội,7.000.000,Định kỳ - Cuối kỳ,5/8/2015,5/8/2018,Standard Coupon,"6,2",6/8/2015,6 ngày,Hủy niêm yết,100000
BVBS15040,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,12/8/2015,12/8/2018,Standard Coupon,"6,2",13/08/2015,6 ngày,Hủy niêm yết,100000
BVBS15050,VND,3 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,20/10/2015,20/10/2018,Standard Coupon,"6,7",22/10/2015,5 ngày,Hủy niêm yết,100000
BVBS15051,VND,3 Năm,Ngân hàng Chính sách Xã hội,6.000.000,Định kỳ - Cuối kỳ,27/10/2015,27/10/2018,Standard Coupon,"6,6",29/10/2015,5 ngày,Hủy niêm yết,100000
BVBS15052,VND,3 Năm,Ngân hàng Chính sách Xã hội,10.000.000,Định kỳ - Cuối kỳ,3/11/2015,3/11/2018,Standard Coupon,"6,5",5/11/2015,5 ngày,Hủy niêm yết,100000
BVBS15053,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,10/11/2015,10/11/2018,Standard Coupon,"6,3",12/11/2015,5 ngày,Hủy niêm yết,100000
BVBS15054,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,17/11/2015,17/11/2018,Standard Coupon,"6,3",19/11/2015,5 ngày,Hủy niêm yết,100000
BVBS15056,VND,3 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,1/12/2015,1/12/2018,Standard Coupon,"6,3",3/12/2015,5 ngày,Hủy niêm yết,100000
BVBS15057,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,8/12/2015,8/12/2018,Standard Coupon,"6,3",10/12/2015,5 ngày,Hủy niêm yết,100000
BVBS15058,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,15/12/2015,15/12/2018,Standard Coupon,"6,4",17/12/2015,5 ngày,Hủy niêm yết,100000
BVBS15059,VND,3 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,22/12/2015,22/12/2018,Standard Coupon,"6,4",24/12/2015,5 ngày,Hủy niêm yết,100000
BVBS15060,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,29/12/2015,29/12/2018,Standard Coupon,"6,3",31/12/2015,5 ngày,Hủy niêm yết,100000
BVBS15061,VND,5 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,19/01/2015,19/01/2020,Standard Coupon,"6,5",20/01/2015,6 ngày,Hủy niêm yết,100000
BVBS15062,VND,5 Năm,Ngân hàng Chính sách Xã hội,4.750.000,Định kỳ - Cuối kỳ,28/01/2015,28/01/2020,Standard Coupon,"6,3",29/01/2015,12 ngày,Hủy niêm yết,100000
BVBS15063,VND,5 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,4/2/2015,4/2/2020,Standard Coupon,"5,9",5/2/2015,14 ngày,Hủy niêm yết,100000
BVBS15064,VND,5 Năm,Ngân hàng Chính sách Xã hội,3.500.000,Định kỳ - Cuối kỳ,11/2/2015,11/2/2020,Standard Coupon,"5,9",12/2/2015,7 ngày,Hủy niêm yết,100000
BVBS15065,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,4/3/2015,4/3/2020,Standard Coupon,"5,6",5/3/2015,7 ngày,Hủy niêm yết,100000
BVBS15066,VND,5 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,11/3/2015,11/3/2020,Standard Coupon,"5,6",12/3/2015,7 ngày,Hủy niêm yết,100000
BVBS15067,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,18/03/2015,18/03/2020,Standard Coupon,"5,6",19/03/2015,7 ngày,Hủy niêm yết,100000
BVBS15091,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,3/11/2015,3/11/2020,Standard Coupon,"7,3",5/11/2015,7 ngày,Hủy niêm yết,100000
BVBS15092,VND,5 Năm,Ngân hàng Chính sách Xã hội,5.000.000,Định kỳ - Cuối kỳ,10/11/2015,10/11/2020,Standard Coupon,"7,2",12/11/2015,7 ngày,Hủy niêm yết,100000
BVBS15093,VND,5 Năm,Ngân hàng Chính sách Xã hội,7.000.000,Định kỳ - Cuối kỳ,17/11/2015,17/11/2020,Standard Coupon,"7,3",19/11/2015,7 ngày,Hủy niêm yết,100000
BVBS15094,VND,5 Năm,Ngân hàng Chính sách Xã hội,500,Định kỳ - Cuối kỳ,24/11/2015,24/11/2020,Standard Coupon,"7,2",26/11/2015,7 ngày,Hủy niêm yết,100000
BVBS15095,VND,5 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,1/12/2015,1/12/2020,Standard Coupon,"7,3",3/12/2015,7 ngày,Hủy niêm yết,100000
BVBS15098,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,22/12/2015,22/12/2020,Standard Coupon,"7,3",24/12/2015,7 ngày,Hủy niêm yết,100000
BVBS15105,VND,10 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,4/3/2015,4/3/2025,Standard Coupon,"6,7",5/3/2015,732 ngày,Bình thường,100000
BVBS15141,VND,15 Năm,Ngân hàng Chính sách Xã hội,1.367.000,Định kỳ - Cuối kỳ,19/01/2015,19/01/2030,Standard Coupon,8,20/01/2015,2514 ngày,Bình thường,100000
BVBS15145,VND,15 Năm,Ngân hàng Chính sách Xã hội,1.516.000,Định kỳ - Cuối kỳ,4/3/2015,4/3/2030,Standard Coupon,"7,6",5/3/2015,2558 ngày,Bình thường,100000
BVBS15146,VND,15 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,11/3/2015,11/3/2030,Standard Coupon,"7,7",12/3/2015,2565 ngày,Bình thường,100000
BVBS15147,VND,15 Năm,Ngân hàng Chính sách Xã hội,960,Định kỳ - Cuối kỳ,18/03/2015,18/03/2030,Standard Coupon,"7,6",19/03/2015,2572 ngày,Bình thường,100000
BVBS15148,VND,15 Năm,Ngân hàng Chính sách Xã hội,900,Định kỳ - Cuối kỳ,20/05/2015,20/05/2030,Standard Coupon,"7,7",21/05/2015,2635 ngày,Bình thường,100000
BVBS15149,VND,15 Năm,Ngân hàng Chính sách Xã hội,200,Định kỳ - Cuối kỳ,27/05/2015,27/05/2030,Standard Coupon,"7,7",28/05/2015,2642 ngày,Bình thường,100000
BVBS15160,VND,15 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,12/8/2015,12/8/2030,Standard Coupon,8,13/08/2015,2719 ngày,Bình thường,100000
BVBS15173,VND,15 Năm,Ngân hàng Chính sách Xã hội,1.100.000,Định kỳ - Cuối kỳ,10/11/2015,10/11/2030,Standard Coupon,8,12/11/2015,2809 ngày,Bình thường,100000
BVBS15176,VND,15 Năm,Ngân hàng Chính sách Xã hội,750,Định kỳ - Cuối kỳ,1/12/2015,1/12/2030,Standard Coupon,"8,1",3/12/2015,2830 ngày,Bình thường,100000
BVBS15177,VND,15 Năm,Ngân hàng Chính sách Xã hội,350,Định kỳ - Cuối kỳ,8/12/2015,8/12/2030,Standard Coupon,"8,1",10/12/2015,2837 ngày,Bình thường,100000
BVBS15178,VND,15 Năm,Ngân hàng Chính sách Xã hội,200,Định kỳ - Cuối kỳ,15/12/2015,15/12/2030,Standard Coupon,"8,1",17/12/2015,2844 ngày,Bình thường,100000
BVBS16276,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,26/01/2016,26/01/2019,Standard Coupon,"6,2",27/01/2016,5 ngày,Hủy niêm yết,100000
BVBS16277,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,17/06/2016,17/06/2019,Standard Coupon,"5,9",20/06/2016,7 ngày,Hủy niêm yết,100000
BVBS16278,VND,3 Năm,Ngân hàng Chính sách Xã hội,6.000.000,Định kỳ - Cuối kỳ,22/06/2016,22/06/2019,Standard Coupon,"5,7",23/06/2016,5 ngày,Hủy niêm yết,100000
BVBS16279,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,5/7/2016,5/7/2019,Standard Coupon,"5,7",6/7/2016,7 ngày,Hủy niêm yết,100000
BVBS16280,VND,3 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,12/7/2016,12/7/2019,Standard Coupon,"5,6",13/07/2016,7 ngày,Hủy niêm yết,100000
BVBS16281,VND,3 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,13/09/2016,13/09/2019,Standard Coupon,"5,2",14/09/2016,7 ngày,Hủy niêm yết,100000
BVBS16318,VND,5 Năm,Ngân hàng Chính sách Xã hội,3.000.000,Định kỳ - Cuối kỳ,26/01/2016,26/01/2021,Standard Coupon,"7,2",27/01/2016,7 ngày,Hủy niêm yết,100000
BVBS16319,VND,5 Năm,Ngân hàng Chính sách Xã hội,10.000.000,Định kỳ - Cuối kỳ,17/06/2016,17/06/2021,Standard Coupon,"6,4",20/06/2016,7 ngày,Hủy niêm yết,100000
BVBS16320,VND,5 Năm,Ngân hàng Chính sách Xã hội,12.000.000,Định kỳ - Cuối kỳ,22/06/2016,22/06/2021,Standard Coupon,"6,4",23/06/2016,7 ngày,Hủy niêm yết,100000
BVBS16321,VND,5 Năm,Ngân hàng Chính sách Xã hội,10.000.000,Định kỳ - Cuối kỳ,28/06/2016,28/06/2021,Standard Coupon,"6,4",29/06/2016,7 ngày,Hủy niêm yết,100000
BVBS16322,VND,5 Năm,Ngân hàng Chính sách Xã hội,4.000.000,Định kỳ - Cuối kỳ,5/7/2016,5/7/2021,Standard Coupon,"6,5",6/7/2016,7 ngày,Hủy niêm yết,100000
BVBS16323,VND,5 Năm,Ngân hàng Chính sách Xã hội,1.000.000,Định kỳ - Cuối kỳ,12/7/2016,12/7/2021,Standard Coupon,"6,5",13/07/2016,7 ngày,Hủy niêm yết,100000
BVBS16324,VND,5 Năm,Ngân hàng Chính sách Xã hội,8.000.000,Định kỳ - Cuối kỳ,19/07/2016,19/07/2021,Standard Coupon,"6,5",20/07/2016,7 ngày,Hủy niêm yết,100000
BVBS16325,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.000.000,Định kỳ - Cuối kỳ,2/8/2016,2/8/2021,Standard Coupon,"6,4",3/8/2016,7 ngày,Hủy niêm yết,100000
BVBS16326,VND,5 Năm,Ngân hàng Chính sách Xã hội,2.500.000,Định kỳ - Cuối kỳ,9/8/2016,9/8/2021,Standard Coupon,"6,4",10/8/2016,7 ngày,Hủy niêm yết,100000
